"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4666","5276","3","Ma'aliyah","Ma'aliyah","Ma'aliyah","641","","","","Rizeigat Baggara","Rizeigat Baggara","Rizeigat Baggara","703","","","","2002-05-25","2","2013-08-11","2","1","2017-07-22","1","2017","68","68","70","Sudan","625","4","22.1"
"4667","5277","3","Mangal","Mangal","Mangal","797","","","","Turi","Turi","Turi","791","","","","2007-04-07","1","2007-11-17","1","0","","","2007","187","187","273","Pakistan","770","3","22.1"
"4667","5277","3","Mangal","Mangal","Mangal","797","","","","Turi","Turi","Turi","791","","","","2007-04-07","1","2007-11-17","1","1","2008-09-23","1","2008","58","58","58","Pakistan","770","3","22.1"
"4668","5278","1","Mara 18 (Guatemala)","n/a","Mara 18 (Guatemala)","776","","","","Mara Salvatrucha (Guatemala)","n/a","Mara Salvatrucha (Guatemala)","777","","","","2001-04-26","3","2005-08-15","1","1","2005-09-19","1","2005","56","56","56","Guatemala","90","5","22.1"
"4669","5279","3","Fiqi Muhumud subclan (Dir)","Fiqi Muhumud subclan (Dir)","n/a","604","","","","Marehan subclan (Darod)","Marehan subclan (Darod)","n/a","644","","","","2003-05-22","1","2003-10-27","1","1","2003-12-16","2","2003","104","102","125","Somalia","520","4","22.1"
"4670","5280","3","Majerteen subclan (Darod)","Majerteen subclan (Darod)","n/a","711","","","","Marehan subclan (Darod)","Marehan subclan (Darod)","n/a","644","","","","1994-12-08","2","2006-02-17","2","1","2006-02-17","2","2006","100","100","100","Ethiopia","530","4","22.1"
"4671","5281","3","Majerteen subclan (Darod)","Majerteen subclan (Darod)","n/a","711","","","","Ogaden clan (Darod)","Ogaden clan (Darod)","n/a","663","","","","2004-06-10","2","2004-06-10","2","1","2004-06-10","2","2004","54","54","54","Ethiopia","530","4","22.1"
"4672","5282","3","Dassanetch","Dassanetch","Dassanetch","713","","","","Turkana","Turkana","Turkana","693","","","","1991-12-31","5","1997-06-30","1","1","1997-06-30","1","1997","28","28","28","Kenya","501","4","22.1"
"4672","5282","3","Dassanetch","Dassanetch","Dassanetch","713","","","","Turkana","Turkana","Turkana","693","","","","1991-12-31","5","2000-02-23","1","1","2000-02-23","1","2000","142","142","142","Kenya","501","4","22.1"
"4672","5282","3","Dassanetch","Dassanetch","Dassanetch","713","","","","Turkana","Turkana","Turkana","693","","","","1991-12-31","5","2005-07-31","3","1","2005-11-30","3","2005","36","36","36","Ethiopia, Kenya","501, 530","4","22.1"
