Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,841536999,861270071,893755804,898022522,902367876,906669764,910870489,914608311,918031055,920807612,922976036,923753699
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,361192206,369135190,382476923,385050864,387621858,390258029,392836210,395257485,397406103,399386100,400895993,401828885
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,427282191,434305092,444865680,447330442,449780961,452263661,454682913,456945557,458942666,460788476,462100263,462624055
"Population, total",SP.POP.TOTL,European Union,EUU,420477999,429328622,441395937,442469469,443576675,444543761,445487730,446186344,446915113,447197811,447479493,446946712
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,482058865,610277815,806049519,825010695,843965097,863004250,881938038,900872423,920103533,940026046,960960554,982980816
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,354047283,471680803,660193919,679013004,698336663,718128408,738387077,759106118,780234453,801708019,823480038,845522272
"Population, total",SP.POP.TOTL,High income,HIC,1027335329,1100273778,1190276979,1197153389,1204216436,1211083838,1217994923,1224138952,1229836619,1234830048,1240684527,1241374277
"Population, total",SP.POP.TOTL,IBRD only,IBD,3472795732,3987186829,4518944265,4566062769,4612371789,4657516187,4701907494,4746018766,4787343661,4826259460,4862446431,4895295243
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4306159746,5065355830,5947406419,6026674017,6105863361,6184735051,6263736146,6343292514,6420905201,6496952025,6571053159,6642614110
"Population, total",SP.POP.TOTL,IDA blend,IDB,278496624,360173395,478335316,489624577,501146189,512877239,524794580,536871945,549127807,561571929,574159138,586883422
"Population, total",SP.POP.TOTL,IDA only,IDX,554867390,717995606,950126838,970986671,992345383,1014341625,1037034072,1060401803,1084433733,1109120636,1134447590,1160435445
