Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0519-ARG,2016,0519,FL-2016-000137,Natural,Hydrological,Flood,Riverine flood,,,Argentina,ARG,South America,Americas,"Pergamino, Ramallo, Colón, Arrecifes, Rojas, Salto, San Nicolás, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jesús María, Colonia Caroya (Colon) (Córdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)",Intense rainfall,Storm,Hail,,,,,,Km2,,,,,2016,12,25,2016,12,26,,,13650,,13650,,,,,2000,2258,"88,57345288",2,,4385;4391;4392;4409;4437;4472;4478;4481;4486;4488;4492;4570;4572;4580;4586;4629;4631;4831;4836,"Arrecifes, Baradero, Colon, Florentino Ameghino, General Lopez, General Roca, General Villegas, La Paz, Parana, Pergamino, Punilla, Ramallo, Rojas, Rosario, Salto, San Antonio de Areco, San Javier, San Nicolas (Adm2). "
2016-0340-CHN,2016,0340,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,China,CHN,Eastern Asia,Asia,"Shandong Sheng, Henan Sheng, Fujian Sheng, Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hebei Sheng, Nei Mongol Zizhiqu, Gansu Sheng, Qinghai Sheng provinces",,Flood,Hail,,,,,,Kph,,,,,2016,9,8,2016,9,13,,,6000,,6000,,,,,175000,197576,"88,57345288",1,901;902;904;905;907;909;912;917;919;921;924;929,,"Fujian Sheng, Gansu Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hebei Sheng, Henan Sheng, Hunan Sheng, Nei Mongol Zizhiqu, Qinghai Sheng, Shandong Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2016-9369-CHN,2016,9369,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Jilin Sheng, Heilongjiang Sheng, Shanxi Sheng, Gansu Sheng, Ningxia Huizu Zizhiqu, Nei Mongol Zizhiqu provinces",High temperature and reduced rainfall,Water shortage,Heat wave,,,,,,Km2,,,,,2016,6,,2016,8,,,,10000000,,10000000,,,1100000,1241907,3000000,3387019,"88,57345288",1,902;908;915;917;918;923,,"Gansu Sheng, Heilongjiang Sheng, Jilin Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Shanxi Sheng (Adm1). "
2016-0125-USA,2016,0125,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Kansas, Virginia, North Carolina, Georgia, Missouri, Illinois, West Virginia provinces",,Hail,Flood,,,,,,Kph,,,,,2016,4,25,2016,5,4,6,,,,,,,2000000,2258013,2400000,2709615,"88,57345288",1,3217;3224;3227;3230;3232;3238;3239;3247;3257;3260;3262,,"Arkansas, Georgia, Illinois, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Texas, Virginia, West Virginia (Adm1). "
2016-0115-URY,2016,0115,FL-2016-000041,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces ",Tornado,Storm,Lightening,,,,,126653,Km2,-32.435,-56.195,,,2016,4,12,2016,5,11,8,250,10355,,10605,,,,,3000,3387,"88,57345288",1,3265;3266;3267;3268;3269;3270;3271;3272;3274;3275;3276;3277;3278;3279;3280;3281;3282;3283,,"Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta Y Tres (Adm1). "
2016-0522-BOL,2016,0522,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Tiquipaya (Quillacollo-Cochabamba department), Tipuani (Larecaja-La Paz), Lagunillas (Cordillera-Santa Cruz)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Greda Mayu,2016,11,26,2016,12,5,4,,5300,,5300,,,,,,,"88,57345288",2,,6181;40476;40525,"Cordillera, Larecaja, Quillacollo (Adm2). "
2016-0350-CHN,2016,0350,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Megi,China,CHN,Eastern Asia,Asia,"Quanzhou district (Fujian Sheng province), Sucun village (Quzhou district, Zhejiang Sheng province), Baofeng village (Lishui district, Zhejiang Sheng province)",,"Slide (land, mud, snow, rock)",,,,,,119,Kph,,,,,2016,9,28,2016,9,28,35,,36000,,36000,,,,,830000,937075,"88,57345288",2,,13009;13326;13329,"Lishui, Quanzhou, Quzhou (Adm2). "
2016-0522-COL,2016,0522,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Cali city (Siloé district),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Cali river,2016,11,26,2016,12,5,6,,,72,72,,,,,,,"88,57345288",2,,14374,Cali (Adm2). 
2016-0423-DOM,2016,0423,FL-2016-000123,Natural,Hydrological,Flood,Riverine flood,,,Dominican Republic (the),DOM,Caribbean,Americas,"Cabrera district (María Trinidad Sánches province), Luperón, Guananico districts, Cabecera-Cabarete (Puerto Plata province), Gaspar Hernandez district (Espaillat province), La Vega, Monte Cristi, Santiago (Jaico), Valverde, Duarte (Villa Riva, Los Peinados and Los Contreras communities), Hato Mayor, El Seibo provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,18.92,-70.125,,"Tío Marcos, Bajabonico, Angostura, Yuna, Pana, Yeguda, Guananico rivers",2016,11,7,2016,11,10,15,,2792000,,2792000,,,,,,,"88,57345288",1;2,1114;1120;1122;1132;1134;36854,36898;36909;36934;36961;36964;36966,"El Seibo, Hato Mayor, La Vega, Monte Cristi, Santiago, Valverde (Adm1). Cabrera, Gaspar Hern??ndez, Guananico, Luper?, Sos??a, Villa Rivas (Adm2). "
2016-0043-TWN,2016,0043,EQ-2016-000012,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Tainan city (Name Unkown district, Taiwan Sheng province)",,Collapse,,Yes,,,,6,Richter,22.938,120.6,03:57,,2016,2,6,2016,2,6,117,525,,,525,,,370000,417732,700000,790305,"88,57345288",2,,13276,Name Unknown (Adm2). 
2016-0123-USA,2016,0123,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Dallas-Fort Worth (Dallas, Wise, Tarrant, Denton, Parker), Wylie, Plano, Little Elm, Rockwall, Bettie, Emory in Collin, Denton, Upshur, Rockwall, Rains, San Antonio metro regions, Helotes, Alamo Heights, Kirby, Hollywood Park, Carrizo Springs, Terrel Hills (Bexar, Dimmit) (Texas), Oklahoma, Kansas, Missouri, Arkansas, Mississippi, Louisiana",,Hail,,,,,,,Kph,,,,,2016,4,10,2016,4,15,1,,3000,,3000,,,3000000,3387019,3900000,4403125,"88,57345288",1;2,3217;3230;3232;3238;3239;3250,31214;31242;31256;31260;31263;31383;31419;31448,"Arkansas, Kansas, Louisiana, Mississippi, Missouri, Oklahoma (Adm1). Bexar, Collin, Dallas, Denton, Dimmit, Parker, Tarrant, Wise (Adm2). "
