gwno,country,year,ongoing,gwarea_tot,gwsum_bestdeaths,gwsum_best_sb,gwshare_confl,gwpop,gwpop_confl,gwpopshare_confl,maxintensity,maxcumulativeintensity,peaceyears,peaceyearshigh,postconflict,pop_affected,area_affected
698,Oman,2016,0,"300820,9688",0,0,,4220855,0,,,,40,46,0,,
700,Afghanistan,2016,1,"625628,5",18548,17780,"0,6322498322",41373368,35917604,"0,8681334257",2,1,,,,"86,81333923","63,22498322"
701,Turkmenistan,2016,0,"447176,2813",0,0,,"6878197,5",0,,,,25,25,0,,
702,Tajikistan,2016,0,"124715,3672",3,3,,"6911251,5","541061,6875",,,,4,4,1,,
703,Kyrgyz Republic,2016,0,"180493,7969",0,0,,"6454185,5",0,,,,25,25,0,,
704,Uzbekistan,2016,0,"415289,1563",0,0,,28677436,0,,,,11,25,0,,
705,Kazakhstan,2016,0,"2662782,25",0,0,,16479369,0,,,,25,25,0,,
710,China,2016,0,9263101,0,0,,1403951616,0,,,,7,46,1,,
712,Mongolia,2016,0,1522968,0,0,,"3164889,25",0,,,,46,46,0,,
731,"Korea, People's Republic of",2016,0,"115113,1797",0,0,,23320862,0,,,,46,46,0,,
732,"Korea, Republic of",2016,0,"96655,76563",0,0,,51629988,0,,,,46,46,0,,
740,Japan,2016,0,"371032,3438",0,0,,128437864,0,,,,46,46,0,,
750,India,2016,1,"3119752,25",844,693,"0,08664106578",1271087232,94410928,"0,07427572459",1,1,,,,"7,42757225","8,664106369"
760,Bhutan,2016,0,"28665,2168",0,0,,"1875618,125",0,,,,46,46,0,,
770,Pakistan,2016,1,817568,1212,945,"0,1344014853",199276384,57451076,"0,2882984579",1,1,,,,"28,82984543","13,44014835"
771,Bangladesh,2016,1,"118233,2188",90,53,"0,3042334616",173997952,66721284,"0,3834601641",1,,,,,"38,34601593","30,42334557"
775,Myanmar,2016,1,"639037,5",157,129,"0,09086237103",58554268,"3615195,25","0,06174093485",1,1,,,,"6,174093246","9,086236954"
780,Sri Lanka,2016,0,"66319,48438",0,0,,21732368,0,,,,6,6,1,,
781,Maldives,2016,0,"33,77065277",0,0,,"350328,1563",0,,,,46,46,0,,
790,Nepal,2016,0,"132613,875",0,0,,32838686,0,,,,9,9,1,,
800,Thailand,2016,1,"489341,0313",67,50,"0,02489190921",73385032,"3022469,25","0,04118645564",1,1,,,,"4,118645668","2,489190817"
811,Cambodia (Kampuchea),2016,0,"174465,5938",0,0,,19249834,0,,,,17,17,0,,
812,Laos,2016,0,"208049,6406",0,0,,"7104696,5",0,,,,25,25,0,,
816,"Vietnam, Democratic Republic of",2016,0,"303433,9063",0,0,,94663568,0,,,,46,46,0,,
820,Malaysia,2016,0,"308277,0625",0,0,,26868916,0,,,,2,46,1,,
830,Singapore,2016,0,"553,6173706",0,0,,5487571,0,,,,46,46,0,,
835,Brunei,2016,0,"3763,262451",0,0,,"481242,3438",0,,,,32,32,0,,
840,Philippines,2016,1,"293546,75",461,420,"0,3567490876",97746768,28858920,"0,2952416837",1,1,,,,"29,52416801","35,67490768"
850,Indonesia,2016,0,"1880252,75",0,0,,251753760,0,,,,10,10,1,,
860,East Timor,2016,0,"15048,64453",0,0,,"729186,625",0,,,,14,14,0,,
900,Australia,2016,0,"7701684,5",0,0,,22113912,0,,,,46,46,0,,
910,Papua New Guinea,2016,0,"463255,4688",0,0,,6702471,0,,,,19,41,0,,
920,New Zealand,2016,0,"268342,1563",0,0,,"4186822,75",0,,,,46,46,0,,
935,Vanuatu,2016,0,"12306,82813",0,0,,"276955,9375",0,,,,16,16,0,,
940,Solomon Islands,2016,0,"27076,96875",0,0,,"720047,625",0,,,,38,38,0,,
950,Fiji,2016,0,"18133,05859",0,0,,"905370,25",0,,,,46,46,0,,
970,Kiribati,2016,0,"424,5211182",0,0,,"10650,00977",0,,,,16,16,0,,
971,Nauru,2016,0,"27,28483963",0,0,,17162,0,,,,16,16,0,,
972,Tonga,2016,0,"463,6878967",0,0,,"87475,27344",0,,,,16,16,0,,
973,Tuvalu,2016,0,"29,1072731",0,0,,"10506,80762",0,,,,16,16,0,,
983,Marshall Islands,2016,0,"34,84205627",0,0,,"38370,14453",0,,,,16,16,0,,
986,Palau,2016,0,"381,6765137",0,0,,"25590,16992",0,,,,16,16,0,,
987,Federated States of Micronesia,2016,0,"518,4641113",0,0,,"68393,46875",0,,,,16,16,0,,
990,American Samoa,2016,0,"2948,588623",0,0,,"175988,1875",0,,,,16,16,0,,
