,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
133,2015,Syria Cross border,Logistics,1258925.83,0,0
134,2015,Syria Cross border,Nutrition,2879594.79,285556,332146
135,2015,Syria Cross border,Protection,5136022.640000001,1483901,2341155
136,2015,Syria Cross border,Water Sanitation Hygiene,5000077.91,1154289,1128078
137,2015,Yemen,Emergency Shelter and NFI,6712201.529999999,167465,176226
138,2015,Yemen,Food Security,10138720.65,131858,155293
139,2015,Yemen,Health,17359460.6531,1807787,2031986
140,2015,Yemen,Logistics,1244179.5,39577,39581
141,2015,Yemen,Nutrition,1949976.13,26283,30009
142,2015,Yemen,Protection,2768386.3600000003,62651,128972
143,2015,Yemen,Water Sanitation Hygiene,9815511.9669,840826,1191871
0,2016,Afghanistan,Coordination and Support Services,1314127.99,440,74
1,2016,Afghanistan,Emergency Shelter and NFI,5870223.1706,57744,61322
2,2016,Afghanistan,Food Security,5272122.4509000005,153340,161153
3,2016,Afghanistan,Health,13957012.621,1949920,1787811
4,2016,Afghanistan,Multi-Sector,50000.01,8,8
5,2016,Afghanistan,Nutrition,7004189.3555,254049,313812
6,2016,Afghanistan,Protection,3971015.5195,517424,705944
7,2016,Afghanistan,Water Sanitation Hygiene,2315519.3725,127582,84171
8,2016,CAR,Camp Coordination / Management,613633.6799999999,71308,50890
9,2016,CAR,Early Recovery,972000.2952,272236,50773
10,2016,CAR,Education,1579690.58,49772,55487
11,2016,CAR,Emergency Shelter and NFI,754583.8600000001,39211,41860
12,2016,CAR,Food Security,3770060.348,64445,62318
13,2016,CAR,Health,3773776.6295,2187009,1926058
14,2016,CAR,Logistics,589999.71,21416,2069
15,2016,CAR,Nutrition,2137786.5545,71922,69703
16,2016,CAR,Protection,3233473.8288000003,946590,977961
17,2016,CAR,Water Sanitation Hygiene,5232878.924,336375,548376
18,2016,Colombia,Early Recovery,90000.0,652,553
19,2016,Colombia,Education,216998.425,1203,1997
20,2016,Colombia,Emergency Shelter and NFI,295424.795,750,592
21,2016,Colombia,Food Security,240784.5107,2636,3545
22,2016,Colombia,Health,249757.12,1716,2670
23,2016,Colombia,Protection,393757.8286,2520,2897
24,2016,Colombia,Water Sanitation Hygiene,636582.9107,4086,5362
25,2016,DRC,Coordination and Support Services,4215677.0675,21089,23627
26,2016,DRC,Education,4216793.014,83106,81657
27,2016,DRC,Emergency Shelter and NFI,5231717.2455,172595,194021
28,2016,DRC,Food Security,8722944.9883,248543,263012
29,2016,DRC,Health,11043460.9477,441260,418001
30,2016,DRC,Logistics,6608505.424459999,148627,167820
31,2016,DRC,Multi-Sector,715000.0,22416,24337
32,2016,DRC,Nutrition,2986681.9239,58768,62213
33,2016,DRC,Protection,4917212.885399999,818668,356428
34,2016,DRC,Water Sanitation Hygiene,9211546.09324,479295,522723
35,2016,Ethiopia,Coordination and Support Services,1045694.95,4688248,8245883
36,2016,Ethiopia,Emergency Shelter and NFI,5674323.886639999,146384,167319
37,2016,Ethiopia,Food Security,12306516.3519,1671853,2056728
38,2016,Ethiopia,Health,8979543.5435,5832821,6026265
39,2016,Ethiopia,Logistics,899029.4099999999,1797715,1723763
40,2016,Ethiopia,Nutrition,22147190.88998,11014634,1023833
41,2016,Ethiopia,Protection,499999.2,125034,80823
42,2016,Ethiopia,Water Sanitation Hygiene,8970961.17798,2369866,1906794
43,2016,Iraq,Camp Coordination / Management,2582359.45,115220,158642
44,2016,Iraq,Coordination and Support Services,1734770.67,35940,55359
45,2016,Iraq,Early Recovery,1488414.67,13529,10291
46,2016,Iraq,Education,3940637.198,69607,119769
47,2016,Iraq,Emergency Shelter and NFI,17481934.023,479545,587134
48,2016,Iraq,Food Security,6520037.6175,386243,474940
49,2016,Iraq,Health,20360712.1325,2403487,2554535
50,2016,Iraq,Multi-Sector,6003107.27,367650,357538
51,2016,Iraq,Protection,7744588.692,833830,1537922
52,2016,Iraq,Water Sanitation Hygiene,20430164.807,1249188,1508104
53,2016,Jordan,Emergency Shelter and NFI,6489270.1405,91990,98762
54,2016,Jordan,Food Security,386417.5,247500,226650
55,2016,Jordan,Health,3252665.5524,122436,142960
56,2016,Jordan,Nutrition,292442.13,13820,10041
57,2016,Jordan,Protection,1056865.1771,25285,33083
58,2016,Jordan,Water Sanitation Hygiene,380109.56,10419,10557
59,2016,Lebanon,Early Recovery,2459665.331,12401,14618
60,2016,Lebanon,Emergency Shelter and NFI,8393720.085,40287,36832
61,2016,Lebanon,Food Security,623679.77,7429,8242
62,2016,Lebanon,Health,2956422.061,139735,180279
63,2016,Lebanon,Protection,5396495.98,108503,121174
